Isotope,G4Volume,nsim,nsaved,npass,nenergy
214Bi,DB_PLUG,199920050.0,24.0,7.0,7.0
214Bi,EP_COPPER_PLATE,386100000.0,1639.0,624.0,539.0
214Bi,GATE_RING,6096272.0,308.0,96.0,77.0
214Bi,HDPE_TUBE,3938760.0,187.0,67.0,57.0
214Bi,VESSEL,4314770936.0,736.0,284.0,261.0
214Bi,PEDESTAL,480000000.0,13.0,3.0,3.0
214Bi,SHIELDING_LEAD,6300000000.0,203.0,73.0,68.0
214Bi,ANODE_RING,6127152.0,285.0,85.0,69.0
214Bi,SIPM_BOARD,27535002.0,3000.0,625.0,549.0
214Bi,OPTICAL_PAD,10165771.0,279.0,109.0,91.0
214Bi,PMT,26509875.0,619.0,228.0,205.0
214Bi,SHIELDING_STRUCT,640000000.0,15.0,5.0,5.0
214Bi,SHIELDING_STEEL,110000000.0,7.0,2.0,2.0
214Bi,PMT_BASE,53200000.0,337.0,119.0,104.0
214Bi,CATHODE_RING,5872545.0,358.0,139.0,92.0
214Bi,TP_COPPER_PLATE,308141400.0,2085.0,678.0,591.0
214Bi,ICS,236432040.0,1733.0,574.0,505.0
214Bi,FIELD_RING,40409712.0,2793.0,921.0,743.0
214Bi,LIGHT_TUBE,2517076.0,751.0,384.0,124.0
214Bi,SAPPHIRE_WINDOW,11256512.0,360.0,123.0,104.0
208Tl,DB_PLUG,149000000.0,1557.0,413.0,374.0
208Tl,EP_COPPER_PLATE,114861698.0,31759.0,9799.0,8788.0
208Tl,GATE_RING,458738.0,1369.0,311.0,269.0
208Tl,HDPE_TUBE,480200.0,1639.0,403.0,352.0
208Tl,VESSEL,1113000000.0,14330.0,4480.0,4081.0
208Tl,PEDESTAL,636699221.0,1070.0,348.0,323.0
208Tl,SHIELDING_LEAD,274532482.0,678.0,201.0,178.0
208Tl,ANODE_RING,462527.0,1339.0,291.0,248.0
208Tl,SIPM_BOARD,6485948.0,34831.0,6560.0,5844.0
208Tl,OPTICAL_PAD,4036429.0,8016.0,2385.0,2107.0
208Tl,PMT,14391706.0,21552.0,6442.0,5742.0
208Tl,SHIELDING_STRUCT,893827008.0,703.0,215.0,206.0
208Tl,SHIELDING_STEEL,12000000.0,95.0,30.0,27.0
208Tl,PMT_BASE,67520794.0,27829.0,8264.0,7448.0
208Tl,CATHODE_RING,445147.0,1503.0,414.0,352.0
208Tl,TP_COPPER_PLATE,59587692.0,27946.0,6605.0,5861.0
208Tl,ICS,689992200.0,358534.0,99469.0,87546.0
208Tl,FIELD_RING,31419800.0,149119.0,31624.0,26437.0
208Tl,LIGHT_TUBE,10255740.0,67059.0,12807.0,10089.0
208Tl,SAPPHIRE_WINDOW,3633568.0,7687.0,2284.0,2045.0
0nubb,ACTIVE,15000.0,10876.0,9459.0,8114.0
137Xe,ACTIVE,194800.0,17988.0,13584.0,9539.0
