G4Volume,Isotope,nreco,nsim
FIELD_RING,208Tl,167984,516361
CATHODE_RING,208Tl,2081,5400
SIPM_BOARD,208Tl,35021,122080
DB_PLUG,208Tl,2865,6544
ANODE_RING,208Tl,1638,4670
PEDESTAL,208Tl,2054,4326
LIGHT_TUBE,208Tl,66079,233186
GATE_RING,208Tl,1762,4967
PMT_BASE,208Tl,47775,99231
PMT,208Tl,35148,76714
OPTICAL_PAD,208Tl,12922,28789
VESSEL,208Tl,27077,57321
SHIELDING_STEEL,208Tl,173,368
SHIELDING_LEAD,208Tl,1250,2658
SAPPHIRE_WINDOW,208Tl,12279,27628
HDPE_TUBE,208Tl,2071,5625
ICS,208Tl,549438,1282621
EP_COPPER_PLATE,208Tl,57083,118404
SHIELDING_STRUCT,208Tl,1389,2908
TP_COPPER_PLATE,208Tl,38310,100332
FIELD_RING,214Bi,8581,24919
CATHODE_RING,214Bi,1491,4211
SIPM_BOARD,214Bi,6208,25342
DB_PLUG,214Bi,91,247
ANODE_RING,214Bi,795,2332
PEDESTAL,214Bi,42,106
LIGHT_TUBE,214Bi,2833,8034
GATE_RING,214Bi,1052,3886
PMT_BASE,214Bi,1097,2881
PMT,214Bi,2097,5257
OPTICAL_PAD,214Bi,1087,2644
VESSEL,214Bi,2649,6662
SHIELDING_STEEL,214Bi,35,100
SHIELDING_LEAD,214Bi,700,1838
SAPPHIRE_WINDOW,214Bi,1248,3220
HDPE_TUBE,214Bi,594,1676
ICS,214Bi,5687,15518
EP_COPPER_PLATE,214Bi,5277,13115
SHIELDING_STRUCT,214Bi,34,99
TP_COPPER_PLATE,214Bi,6387,18803
ACTIVE,0nubb,12522,15000
ACTIVE,2nubb,7405,6000000
